NEIGHBOURHOOD_158,REPORT_YEAR,REPORT_MONTH,TotalCrimeScore,Crime_Count,x,y,NSI,Prev_Month_NSI,NSI_3M_Avg
0,2019,9,42,15,-8824657.792024454,5435822.051169759,0.9144050104384134,0.906054279749478,0.8879610299234516
0,2019,10,99,27,-8824019.567566605,5435861.1238667555,0.7954070981210856,0.9144050104384134,0.9018789144050104
0,2019,11,54,16,-8824278.397625266,5435477.743219542,0.8893528183716075,0.7954070981210856,0.871955462769659
0,2019,12,45,14,-8823975.396389637,5435524.02949712,0.9081419624217119,0.8893528183716075,0.8663883089770356
0,2020,1,94,25,-8824401.992284585,5435238.154884295,0.8058455114822547,0.9081419624217119,0.8643006263048015
0,2020,2,47,13,-8823952.6162663,5435896.579142117,0.9039665970772442,0.8058455114822547,0.8677800974251914
0,2020,3,83,21,-8824114.867164304,5435557.96348064,0.8288100208768268,0.9039665970772442,0.872651356993737
0,2020,4,22,6,-8824514.108005842,5436016.19493113,0.9561586638830898,0.8288100208768268,0.8462073764787753
0,2020,5,18,5,-8823601.564531978,5435631.846681425,0.964509394572025,0.9561586638830898,0.8963117606123868
0,2020,6,35,16,-8824247.512776993,5435418.703783443,0.9290187891440501,0.964509394572025,0.9164926931106473
0,2020,7,75,21,-8824922.990133066,5435999.153067703,0.8455114822546973,0.9290187891440501,0.9498956158663883
0,2020,8,57,17,-8823851.86645286,5435629.0170642845,0.8830897703549061,0.8455114822546973,0.9130132219902576
0,2020,9,54,17,-8824522.03568559,5435861.772028385,0.8893528183716075,0.8830897703549061,0.8858733472512178
0,2020,10,22,10,-8824190.125329446,5435737.145282346,0.9561586638830898,0.8893528183716075,0.872651356993737
0,2020,11,23,11,-8823633.96622532,5435998.444878274,0.954070981210856,0.9561586638830898,0.9095337508698678
0,2020,12,33,14,-8825072.235403085,5435723.934166668,0.9331941544885177,0.954070981210856,0.9331941544885177
0,2021,1,6,2,-8824677.753223289,5435184.8741763,0.9895615866388309,0.9331941544885177,0.9478079331941545
0,2021,2,30,10,-8824148.294893447,5436157.996720657,0.9394572025052192,0.9895615866388309,0.9589422407794016
0,2021,3,31,12,-8824361.738710692,5436071.115147556,0.9373695198329854,0.9394572025052192,0.954070981210856
0,2021,4,24,8,-8824676.118106946,5435517.39966211,0.9519832985386222,0.9373695198329854,0.9554627696590119
0,2021,5,13,4,-8823505.507611286,5435804.769731849,0.9749478079331941,0.9519832985386222,0.942936673625609
0,2021,6,12,4,-8823929.55619616,5436311.8439903855,0.9770354906054279,0.9749478079331941,0.954766875434934
0,2021,7,51,18,-8824819.007465184,5435667.76847444,0.8956158663883089,0.9770354906054279,0.9679888656924147
0,2021,8,58,19,-8824635.492691543,5435973.851082837,0.8810020876826722,0.8956158663883089,0.9491997216423104
0,2021,9,43,14,-8824376.40844355,5435601.696498098,0.9123173277661796,0.8810020876826722,0.917884481558803
0,2021,10,52,14,-8824189.963586995,5435938.361851395,0.8935281837160751,0.9123173277661796,0.8963117606123868
0,2021,11,70,20,-8823908.965541268,5435845.015264103,0.8559498956158664,0.8935281837160751,0.8956158663883089
0,2021,12,53,16,-8824611.361548442,5435712.067431466,0.8914405010438413,0.8559498956158664,0.8872651356993737
